source_file,source_path,domain,file_kind,target_module,target_record_type,target_schema,target_table,current_stage,status,row_count,column_count,notes
financial_IRS Tax Professional Resources.csv,sheets/financial/financial_IRS Tax Professional Resources.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,6,10,Raw ingestion target
financial_items_db.csv,sheets/financial/financial_items_db.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,75,23,Raw ingestion target
financial_plates_db.csv,sheets/financial/financial_plates_db.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,16,105,Raw ingestion target
financial_QIALLY LLC_Account List.csv,sheets/financial/financial_QIALLY LLC_Account List.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,162,6,Raw ingestion target
financial_QiAlly me 360 Plan Details.csv,sheets/financial/financial_QiAlly me 360 Plan Details.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,478,8,Raw ingestion target
financial_Quotes_001.csv,sheets/financial/financial_Quotes_001.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,53,51,Raw ingestion target
financial_Register.csv,sheets/financial/financial_Register.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,1886,11,Raw ingestion target
financial_Sales Orders_001.csv,sheets/financial/financial_Sales Orders_001.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,2,56,Raw ingestion target
financial_Summary Total 1.csv,sheets/financial/financial_Summary Total 1.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,1,5,Raw ingestion target
financial_Summary _1.csv,sheets/financial/financial_Summary _1.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,2,4,Raw ingestion target
financial_Tax Home Expenses.csv,sheets/financial/financial_Tax Home Expenses.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,12,5,Raw ingestion target
financial_Tax Home Percentage DB.csv,sheets/financial/financial_Tax Home Percentage DB.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,2,5,Raw ingestion target
financial_Tax Ledger DB.csv,sheets/financial/financial_Tax Ledger DB.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,27,6,Raw ingestion target
financial_Tax Mileage DB.csv,sheets/financial/financial_Tax Mileage DB.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,6,4,Raw ingestion target
financial_Tax Resolution Packet Full.csv,sheets/financial/financial_Tax Resolution Packet Full.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,342,14,Raw ingestion target
financial_tax_returns_master_template.csv,sheets/financial/financial_tax_returns_master_template.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,33,66,Raw ingestion target
financial_Transaction Rules.csv,sheets/financial/financial_Transaction Rules.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,2,13,Raw ingestion target
financial_Yard Sale Summary.csv,sheets/financial/financial_Yard Sale Summary.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,62,6,Raw ingestion target
tarot_db.csv,sheets/financial/tarot_db.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,178,11,Raw ingestion target
